X,Y,Z,SIGNAL_STRENGTH
370,13,-40,175
380,13,-29,175
377,13,-19,175
354,12,-5,159
347,18,0,167
368,19,12,175
380,20,25,175
377,20,36,175
379,20,48,175
382,20,62,175
397,21,117,40
387,20,169,35
363,19,219,45
374,20,270,98
380,20,296,159
370,19,350,84
347,18,424,45
166,9,362,40
112,6,356,50
9,0,189,40
-13,-1,156,45
-34,-2,157,60
-56,-3,157,40
-295,-15,577,30
-373,-20,543,55
-400,-21,444,60
-403,-21,347,40
-396,-21,260,60
-377,-20,231,175
-382,-20,218,175
-385,-20,203,159
-381,-20,186,167
-384,-20,172,175
-389,-20,160,175
-389,-20,146,175
-391,-20,132,175
-387,-20,118,175
-388,-20,105,167
-388,-20,90,167
-383,-20,76,175
-383,-20,65,183
-385,-20,52,167
-388,-20,40,183
-389,-20,27,175
113,6,-52,70
128,7,-54,167
142,7,-54,175
180,9,-51,98
285,15,-43,65
378,20,-44,175
370,19,-32,175
382,20,-21,183
364,19,-8,175
368,19,10,167
371,19,20,175
376,20,33,183
379,20,46,167
383,20,59,175
387,20,112,35
399,21,173,60
359,19,215,45
374,20,271,84
375,20,328,84
361,19,405,70
266,14,390,45
197,10,389,30
123,6,345,70
-272,-14,592,50
-398,-21,485,45
-398,-21,379,35
-400,-21,291,55
-391,-21,233,84
-387,-20,212,167
-384,-20,195,167
-382,-20,178,175
-389,-20,167,175
-393,-21,154,183
-389,-20,139,183
-382,-20,122,159
-386,-20,110,167
-387,-20,97,175
-383,-20,83,167
-384,-20,70,183
-384,-20,59,175
-386,-20,46,175
-382,-20,33,175
-375,-20,-16,45
110,6,-52,70
127,7,-54,175
139,7,-54,183
156,8,-54,167
170,9,-53,167
194,10,-54,167
298,16,-44,65
377,20,-28,98
376,20,-15,159
351,18,-2,159
366,19,9,159
372,19,22,175
381,20,32,175
380,20,45,167
387,20,58,159
387,20,111,35
384,20,166,35
356,19,211,45
375,20,273,84
378,20,296,159
367,19,352,84
343,18,427,45
248,13,406,65
171,9,379,35
103,5,337,50
6,0,151,35
-295,-15,570,40
-398,-21,449,60
-413,-22,358,40
-400,-21,265,55
-389,-20,239,167
-380,-20,216,167
-386,-20,203,167
-385,-20,186,175
-385,-20,172,167
-382,-20,156,175
-386,-20,143,167
-385,-20,128,175
-392,-21,117,175
-387,-20,103,183
-381,-20,88,175
-382,-20,78,167
-378,-20,64,167
-384,-20,52,183
-381,-20,39,183
-384,-20,28,191
112,6,-52,70
124,6,-53,183
136,7,-54,175
148,8,-53,183
168,9,-55,175
184,10,-53,183
291,15,-44,60
366,19,-44,167
376,20,-33,167
379,20,-21,175
356,19,-8,167
363,19,12,167
374,20,23,167
378,20,36,167
378,20,48,167
379,20,61,175
397,21,115,35
397,21,171,35
366,19,219,45
373,20,270,84
380,20,297,167
363,19,342,84
345,18,422,50
163,9,357,30
104,5,335,55
7,0,164,35
-721,-38,3274,25
-299,-16,584,35
-388,-20,569,35
-395,-21,448,55
-397,-21,350,35
-396,-21,268,50
-387,-20,242,159
-384,-20,222,159
-378,-20,201,167
-390,-20,169,98
-387,-20,152,175
-391,-21,139,183
-385,-20,123,175
-386,-20,110,167
-388,-20,97,175
-393,-21,88,183
-385,-20,72,167
-384,-20,60,175
-390,-20,47,183
-383,-20,35,175
-379,-20,19,175
-4831,-253,-365,30
109,6,-50,98
