X,Y,Z,SIGNAL_STRENGTH
-12,46,64,84
-12,49,60,84
-13,52,61,159
-14,54,56,84
-17,68,62,84
-18,71,57,84
-20,82,63,167
-21,83,57,98
-21,86,56,183
-22,90,56,167
-25,102,61,167
-37,147,82,167
-53,214,105,98
-52,209,96,175
-54,218,95,159
-53,213,88,175
-51,205,80,175
-53,214,77,175
-53,212,72,175
-54,217,69,175
-53,213,62,175
-53,213,57,167
-54,215,53,167
-52,211,47,175
-53,213,43,175
-52,210,37,175
-52,207,33,183
-52,211,30,175
-52,210,25,183
-53,211,21,175
-52,210,17,175
-53,212,13,175
-53,214,9,183
-52,207,5,175
-53,214,0,183
-52,209,-4,175
-53,212,-9,175
-53,214,-13,175
-52,208,-16,183
-53,211,-21,175
-52,209,-26,183
-54,218,-32,175
-53,215,-36,167
-53,214,-40,175
-51,206,-43,175
-52,210,-49,167
-53,212,-53,183
-54,217,-60,167
-53,212,-63,167
-53,211,-68,167
-53,212,-74,167
-52,210,-78,167
-53,213,-84,183
-51,206,-87,175
-52,209,-93,167
-52,208,-98,175
-52,210,-105,167
-54,217,-114,175
-54,217,-121,159
-52,211,-132,98
-52,209,-148,98
-52,207,-167,84
-52,209,-189,84
-48,193,-198,84
-31,123,-150,50
-25,99,-143,70
-23,92,-140,159
-21,86,-137,167
-21,84,-138,175
-19,76,-132,175
-18,73,-132,167
-18,71,-135,183
-18,71,-141,175
-16,64,-134,175
-14,58,-128,175
-14,55,-127,183
-13,53,-130,175
-12,49,-127,175
-12,49,-137,183
-10,42,-134,98
-10,40,-136,183
-9,36,-134,183
-8,33,-130,191
-8,32,-137,183
-7,28,-134,183
-6,25,-130,175
-6,23,-134,183
-5,21,-136,175
-5,18,-137,175
-4,16,-137,175
-3,13,-136,183
-3,10,-136,183
-2,8,-137,175
-1,5,-138,175
0,2,-135,175
0,0,-137,175
1,-3,-135,159
1,-6,-138,175
2,-9,-135,183
3,-11,-134,183
0,0,-1,35
0,0,-1,35
361,-1450,-4279,30
0,0,-1,55
0,0,-1,30
0,-1,-1,25
0,-1,-1,30
0,-1,-1,25
0,-1,-1,30
0,-1,-1,25
0,-1,-1,35
0,-1,0,20
0,-1,0,30
0,-1,0,25
610,-2445,-564,25
0,-1,0,35
0,-1,0,25
0,-1,0,20
0,-1,0,40
0,-1,0,25
0,-1,0,40
0,-1,0,30
0,-1,0,25
0,-1,1,30
0,-1,1,25
0,-1,1,30
1522,-6104,6304,25
0,-1,1,25
0,-1,1,40
0,-2,3,30
6,-25,53,40
7,-27,71,70
5,-19,63,70
4,-16,64,84
3,-11,59,98
3,-12,72,159
2,-10,67,167
2,-8,65,167
2,-6,65,159
1,-5,68,167
1,-3,66,159
1,-2,68,159
0,-1,65,167
0,1,70,175
0,2,67,183
-1,3,66,183
-1,4,65,175
-2,6,68,175
-2,8,64,159
-3,11,66,98
-4,16,66,84
-5,19,64,98
-5,22,62,98
-7,27,64,84
-8,32,66,84
-8,33,59,84
-9,38,59,98
-11,43,59,84
-13,51,61,84
-15,59,62,84
-16,63,59,84
-18,73,61,84
-19,77,57,84
-21,85,60,167
-21,86,58,175
-24,95,61,159
-24,97,59,183
-24,96,56,175
-51,203,102,84
-55,220,105,159
-55,220,99,167
-54,215,91,159
-53,213,85,167
-54,217,81,183
-54,215,75,167
-52,207,68,167
-55,219,66,167
-53,213,59,175
-53,211,54,167
-52,210,49,167
-54,218,45,167
-52,209,39,167
-53,212,36,183
-53,214,32,183
-53,211,26,167
-53,213,22,175
-54,218,18,175
-53,214,13,167
-53,214,9,175
-52,210,5,175
-52,209,1,159
-53,212,-3,183
-52,209,-7,183
-52,208,-12,175
-52,209,-16,175
-53,214,-21,175
-53,213,-25,183
-53,213,-30,167
-53,214,-35,167
-54,216,-40,167
-51,206,-43,167
-52,208,-47,175
-53,211,-52,175
-53,211,-57,183
-54,215,-62,183
-53,211,-66,167
-52,207,-70,175
-53,212,-77,167
