X,Y,Z,SIGNAL_STRENGTH
57,-18,13,167
59,-19,15,167
53,-17,15,167
60,-19,20,175
56,-18,20,167
53,-17,22,167
61,-20,27,167
56,-18,27,159
60,-20,32,159
51,-17,29,167
57,-19,36,167
58,-19,38,167
59,-19,42,175
52,-17,40,175
60,-20,49,175
56,-18,53,98
51,-17,58,84
56,-18,76,84
58,-19,85,159
52,-17,82,175
52,-17,88,175
55,-18,99,183
72,-23,141,167
93,-30,222,98
89,-29,229,175
80,-26,227,175
72,-23,228,175
66,-21,232,167
58,-19,224,167
50,-16,217,175
45,-14,223,175
37,-12,222,183
31,-10,223,183
25,-8,225,159
18,-6,222,167
11,-4,223,167
5,-2,220,183
-2,1,227,167
-7,2,221,183
-13,4,212,183
-19,6,217,175
-24,8,213,175
-29,10,210,175
-36,12,216,175
-43,14,221,183
-49,16,219,175
-53,17,211,183
-62,20,222,183
-69,22,217,175
-77,25,219,167
-82,27,212,183
-88,29,211,183
-97,31,215,175
-104,34,213,159
-114,37,215,167
-119,39,209,167
-131,43,215,167
-156,51,217,98
-180,58,208,98
-191,62,188,98
-137,45,108,70
-130,42,95,167
-133,43,91,175
-124,40,80,183
-129,42,77,167
-132,43,74,183
-126,41,66,183
-124,40,60,175
-129,42,58,183
-130,42,54,167
-126,41,48,183
-129,42,44,175
-124,40,37,167
-129,42,34,183
-130,42,30,183
-129,42,25,175
-129,42,21,175
-125,40,17,183
-123,40,13,175
-125,41,8,175
-131,43,5,183
-126,41,1,183
-127,41,-2,183
-129,42,-6,191
-129,42,-10,183
-132,43,-14,175
-6174,2006,-1521,35
182,-59,-4073,40
56,-18,-32,35
65,-21,-35,167
65,-21,-28,98
57,-19,-18,84
60,-19,-17,159
58,-19,-10,84
64,-21,-5,84
63,-20,0,98
59,-19,2,167
60,-19,4,159
54,-18,6,167
54,-18,10,98
55,-18,12,167
59,-19,15,167
59,-19,17,175
55,-18,18,167
58,-19,21,175
54,-18,22,159
55,-18,24,167
57,-19,27,159
55,-18,28,167
62,-20,35,175
58,-19,35,175
56,-18,36,167
55,-18,38,167
55,-18,41,167
50,-16,40,159
57,-18,49,159
59,-19,55,159
55,-18,55,159
56,-18,67,84
52,-17,75,84
57,-19,87,167
54,-17,88,175
54,-18,95,167
60,-20,115,167
94,-30,218,98
88,-29,223,167
80,-26,222,175
75,-24,226,167
65,-21,218,175
59,-19,219,183
54,-17,223,183
46,-15,221,175
38,-13,218,175
33,-11,227,175
16,-5,224,98
10,-3,223,183
4,-1,218,175
-3,1,222,175
-9,3,229,183
-15,5,223,175
-23,7,224,167
-28,9,219,175
-34,11,220,191
-38,13,213,183
-48,15,222,175
-55,18,223,175
-60,19,219,175
-67,22,217,175
-75,24,221,175
-81,26,216,167
-87,28,211,175
-96,31,214,167
-104,34,213,167
-115,37,218,167
-122,39,215,167
-130,42,211,159
-146,47,221,167
-164,53,208,98
-190,62,200,84
-159,52,132,70
-131,43,91,98
-126,41,81,175
-129,42,78,167
-130,42,74,175
-125,41,65,175
-125,41,61,175
-127,41,58,183
-130,42,55,175
-127,41,48,175
-126,41,44,183
-130,42,41,175
-121,39,34,175
-124,40,31,175
-126,41,27,175
-126,41,23,183
-124,40,19,175
-121,39,15,175
-125,41,12,191
-125,41,8,183
-129,42,4,175
-125,40,0,175
-125,40,-3,183
-127,41,-7,183
-124,40,-10,183
-128,41,-15,175
-42,14,-17,30
64,-21,-35,40
64,-21,-28,84
61,-20,-20,84
62,-20,-14,84
